Id,Time(seconds),Time(text),Latitude,Longitude
1,0.3,0m 0.3s,-44.69009395,170.42456545
2,0.4,0m 0.4s,-44.69009389,170.42456538
3,0.5,0m 0.5s,-44.69009368,170.42456536
4,0.6,0m 0.6s,-44.69009359,170.42456529
5,0.7,0m 0.7s,-44.69009355,170.42456542
6,0.8,0m 0.8s,-44.69009345,170.42456534
7,0.9,0m 0.9s,-44.69009337,170.42456518
8,1,0m 1s,-44.69009331,170.42456511
9,1.1,0m 1.1s,-44.69009328,170.424565
10,1.2,0m 1.2s,-44.69009326,170.42456496
11,1.3,0m 1.3s,-44.69009337,170.42456508
12,1.4,0m 1.4s,-44.69009337,170.42456506
13,1.5,0m 1.5s,-44.69009351,170.42456512
14,1.6,0m 1.6s,-44.69009345,170.42456509
15,1.7,0m 1.7s,-44.69009359,170.4245652
16,1.9,0m 1.9s,-44.69009328,170.42456512
17,2,0m 2s,-44.69009316,170.42456514
18,2.1,0m 2.1s,-44.69009334,170.42456511
19,2.2,0m 2.2s,-44.69009329,170.42456518
20,2.3,0m 2.3s,-44.69009325,170.4245656
21,2.4,0m 2.4s,-44.69009319,170.4245658
22,2.5,0m 2.5s,-44.69009329,170.42456598
23,2.7,0m 2.7s,-44.69009283,170.4245669
24,2.8,0m 2.8s,-44.69009242,170.42456753
25,2.9,0m 2.9s,-44.69009213,170.42456775
26,3,0m 3s,-44.69009167,170.4245683
27,3.1,0m 3.1s,-44.69009135,170.42456885
28,3.2,0m 3.2s,-44.69009102,170.42456924
29,3.3,0m 3.3s,-44.69009102,170.42456972
30,3.4,0m 3.4s,-44.69009081,170.42456996
31,3.5,0m 3.5s,-44.69009059,170.42457032
32,3.6,0m 3.6s,-44.69009042,170.42457045
33,3.7,0m 3.7s,-44.69009023,170.42457053
34,3.8,0m 3.8s,-44.6900901,170.42457054
35,3.9,0m 3.9s,-44.69009008,170.42457032
36,4,0m 4s,-44.69009,170.42457026
37,4.1,0m 4.1s,-44.69009002,170.42457028
38,4.2,0m 4.2s,-44.69008998,170.42457021
39,4.3,0m 4.3s,-44.69009004,170.42456997
40,4.5,0m 4.5s,-44.69009009,170.42456979
41,4.6,0m 4.6s,-44.69009007,170.42456965
42,4.7,0m 4.7s,-44.69009011,170.42456949
43,4.8,0m 4.8s,-44.6900901,170.42456935
44,4.9,0m 4.9s,-44.69009027,170.42456917
45,5,0m 5s,-44.69009027,170.42456904
46,5.1,0m 5.1s,-44.69009024,170.42456892
47,5.3,0m 5.3s,-44.69009024,170.42456862
48,5.4,0m 5.4s,-44.69009023,170.4245685
49,5.5,0m 5.5s,-44.69009038,170.4245683
50,5.6,0m 5.6s,-44.69009037,170.42456818
51,5.7,0m 5.7s,-44.69009036,170.42456817
52,5.8,0m 5.8s,-44.69009035,170.42456808
53,5.9,0m 5.9s,-44.69009035,170.42456806
54,6,0m 6s,-44.69009035,170.42456801
55,6.1,0m 6.1s,-44.69009021,170.42456752
56,6.2,0m 6.2s,-44.69009018,170.42456746
57,6.3,0m 6.3s,-44.69009019,170.42456757
58,6.4,0m 6.4s,-44.69009014,170.42456755
59,6.5,0m 6.5s,-44.69009001,170.42456755
60,6.6,0m 6.6s,-44.69008996,170.42456756
61,6.7,0m 6.7s,-44.6900899,170.42456763
62,6.8,0m 6.8s,-44.69008985,170.42456767
63,6.9,0m 6.9s,-44.69008982,170.4245677
64,7,0m 7s,-44.69008977,170.42456775
65,7.1,0m 7.1s,-44.69008971,170.42456773
66,7.2,0m 7.2s,-44.69008964,170.42456778
67,7.3,0m 7.3s,-44.69008958,170.42456798
68,7.4,0m 7.4s,-44.69008952,170.424568
69,7.5,0m 7.5s,-44.69008948,170.42456825
70,7.6,0m 7.6s,-44.69008944,170.42456828
71,7.7,0m 7.7s,-44.69008943,170.42456831
72,7.8,0m 7.8s,-44.69008937,170.42456834
73,7.9,0m 7.9s,-44.6900893,170.42456855
74,8,0m 8s,-44.69008922,170.42456853
75,8.2,0m 8.2s,-44.69008899,170.42456858
76,8.4,0m 8.4s,-44.69008861,170.42456849
77,8.5,0m 8.5s,-44.69008836,170.42456849
78,8.6,0m 8.6s,-44.6900882,170.42456853
79,8.7,0m 8.7s,-44.69008796,170.42456851
80,8.8,0m 8.8s,-44.69008784,170.42456857
81,8.9,0m 8.9s,-44.69008797,170.42456858
82,9,0m 9s,-44.69008791,170.4245686
83,9.1,0m 9.1s,-44.69008788,170.42456842
84,9.2,0m 9.2s,-44.6900878,170.42456834
85,9.3,0m 9.3s,-44.69008788,170.42456845
86,9.4,0m 9.4s,-44.69008781,170.42456838
87,9.5,0m 9.5s,-44.69008777,170.42456858
88,9.6,0m 9.6s,-44.69008774,170.42456857
89,9.7,0m 9.7s,-44.69008734,170.4245683
90,9.8,0m 9.8s,-44.69008731,170.42456832
91,9.9,0m 9.9s,-44.69008766,170.42456823
92,10,0m 10s,-44.69008766,170.4245683

